Scenario,Target,PacketSize,Mode,SentOriginal,SentTotal,Received,Retransmitted,ReceivedAfterRetry,Corrupted,PacketLoss
LocalToVM,192.168.122.34,64,1,100,100,100,0,0,0,
LocalToVM,192.168.122.34,64,2,100,100,100,0,0,0,
LocalToVM,192.168.122.34,64,3,100,100,100,0,0,0,
LocalToVM,192.168.122.34,512,1,100,100,100,0,0,0,
LocalToVM,192.168.122.34,512,2,100,100,100,0,0,0,
LocalToVM,192.168.122.34,512,3,100,100,100,0,0,0,
LocalToVM,192.168.122.34,1472,1,100,100,100,0,0,0,
LocalToVM,192.168.122.34,1472,2,100,100,100,0,0,0,
LocalToVM,192.168.122.34,1472,3,100,100,100,0,0,0,
LocalNetwork,192.168.68.58,64,1,100,100,100,0,0,0,
LocalNetwork,192.168.68.58,64,2,100,100,100,0,0,0,
LocalNetwork,192.168.68.58,64,3,100,100,100,0,0,0,
LocalNetwork,192.168.68.58,512,1,100,100,100,0,0,0,
LocalNetwork,192.168.68.58,512,2,100,100,100,0,0,0,
LocalNetwork,192.168.68.58,512,3,100,100,100,0,0,0,
LocalNetwork,192.168.68.58,1472,1,100,100,100,0,0,0,
LocalNetwork,192.168.68.58,1472,2,100,100,100,0,0,0,
LocalNetwork,192.168.68.58,1472,3,100,100,100,0,0,0,
LocalToCloud,1.1.1.1,64,1,100,100,100,0,0,0,
LocalToCloud,1.1.1.1,64,2,100,100,100,0,0,0,
LocalToCloud,1.1.1.1,64,3,100,100,100,0,0,0,
LocalToCloud,1.1.1.1,512,1,100,100,100,0,0,0,
LocalToCloud,1.1.1.1,512,2,100,100,100,0,0,0,
LocalToCloud,1.1.1.1,512,3,100,100,100,0,0,0,
LocalToCloud,1.1.1.1,1472,1,100,100,100,0,0,0,
LocalToCloud,1.1.1.1,1472,2,100,100,100,0,0,0,
LocalToCloud,1.1.1.1,1472,3,100,100,100,0,0,0,
